City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,thinadhoo,0.5333,72.9333,27.84,72,100,1.24,MV,1704177107
81,kenai,60.5544,-151.2583,-3.97,74,0,9.77,US,1704177107
82,conde,-7.2597,-34.9075,22.7,100,0,2.06,BR,1704177108
83,la ronge,55.1001,-105.2842,-6.86,73,100,3.6,CA,1704177109
84,hamilton,39.1834,-84.5333,2.7,83,100,2.68,US,1704177008
85,santa ana de yacuma,-13.75,-65.4333,24.42,90,100,3.26,BO,1704177111
86,naryn,41.4287,75.9911,-6.13,61,100,0.13,KG,1704177111
87,sept-iles,50.2001,-66.3821,-6.0,86,100,4.47,CA,1704176982
88,camana,-16.6228,-72.7111,20.9,83,57,2.24,PE,1704177113
89,lebu,-37.6167,-73.65,13.09,86,2,6.92,CL,1704176871
90,chaiyaphum,15.75,102.0,31.0,32,8,2.83,TH,1704177114
91,dabakala,8.3667,-4.4333,21.47,69,19,1.79,CI,1704177114
92,gadzhiyevo,69.2551,33.3362,-16.77,82,100,9.27,RU,1704177115
93,jiagedaqi,50.4167,124.1167,-14.46,90,16,0.72,CN,1704177116
94,naranjo,10.0987,-84.3782,20.4,91,39,2.05,CR,1704177116
95,iskateley,67.6803,53.1512,-25.55,100,78,1.79,RU,1704177117
96,beibei,29.8256,106.4339,13.54,80,100,0.41,CN,1704177118
97,velikiy ustyug,60.7644,46.3106,-32.56,99,81,1.79,RU,1704177118
98,georgetown,5.4112,100.3354,31.96,74,20,4.12,MY,1704176962
99,satara,17.6833,73.9833,25.97,36,22,3.28,IN,1704176942
100,kisangani,0.5167,25.2,26.75,76,41,1.18,CD,1704177120
101,ajdabiya,30.7554,20.2263,14.17,58,52,3.31,LY,1704177121
102,bilibino,68.0546,166.4372,-24.02,92,99,0.44,RU,1704177122
103,utrik,11.2278,169.8474,27.23,79,95,10.03,MH,1704177122
104,rongelap,11.1635,166.8941,27.45,77,21,9.76,MH,1704177123
105,flin flon,54.7682,-101.865,-10.76,89,100,3.94,CA,1704177124
106,ilulissat,69.2167,-51.1,-8.99,38,17,7.2,GL,1704177124
107,kalabo,-14.97,22.6814,24.5,70,62,1.99,ZM,1704177125
108,lazaro cardenas,17.9583,-102.2,22.3,65,76,1.72,MX,1704176990
109,baza,37.4907,-2.7726,5.16,62,87,1.23,ES,1704177126
110,douglas,41.3,-96.167,-2.51,91,0,0.89,US,1704176958
111,taroa,8.7058,171.2275,27.66,78,25,8.3,MH,1704177128
112,dalandzadgad,43.5708,104.425,-4.18,42,0,1.18,MN,1704177128
113,vadso,70.0744,29.7487,-10.91,79,20,8.23,NO,1704177129
114,ishikawa,26.4233,127.8214,22.18,46,40,2.06,JP,1704177130
115,el charco,2.4769,-78.1105,23.42,98,100,1.99,CO,1704177130
116,turinsk,58.0458,63.696,-22.45,94,100,4.87,RU,1704177131
117,bayji,34.9311,43.487,14.24,37,100,1.64,IQ,1704177132
118,axtla de terrazas,21.4667,-98.85,19.18,84,100,1.66,MX,1704177133
119,kirakira,-10.4544,161.9205,28.19,83,84,2.75,SB,1704177133
120,kasulu,-4.5767,30.1025,19.18,89,100,0.9,TZ,1704177134
121,kone,-21.0595,164.8658,28.8,63,98,1.76,NC,1704177135
122,myeik,12.4333,98.6,30.3,55,100,4.11,MM,1704177135
123,jiayuguan,39.8167,98.3,2.08,26,0,4.16,CN,1704177136
124,susuman,62.7833,148.1667,-31.12,98,100,0.45,RU,1704177138
125,new norfolk,-42.7826,147.0587,21.07,66,100,2.01,AU,1704177139
126,noosa heads,-26.3833,153.15,22.84,89,100,9.08,AU,1704177002
127,mount gambier,-37.8333,140.7667,22.84,66,5,6.15,AU,1704177140
128,vizinga,61.0749,50.1031,-33.48,99,22,1.44,RU,1704177141
129,turpan,42.9333,89.1667,2.52,40,14,0.72,CN,1704177141
130,madras,13.0878,80.2785,27.99,69,40,5.14,IN,1704177004
131,kingscliff,-28.2667,153.5667,26.89,61,40,8.23,AU,1704177144
132,papatowai,-46.5619,169.4708,14.73,68,50,4.38,NZ,1704177145
133,grand falls-windsor,48.9332,-55.6649,-10.28,84,18,1.95,CA,1704177145
134,qaqortoq,60.7167,-46.0333,-8.8,73,100,3.11,GL,1704176956
135,jawf al maqbabah,13.8378,45.8349,23.49,46,13,2.09,YE,1704177147
136,hwange,-18.3693,26.5019,28.34,51,45,3.51,ZW,1704177147
137,crucecita,-28.95,-58.9833,19.11,85,8,2.47,AR,1704177148
138,puerto san jose,13.9256,-90.8244,24.17,76,1,1.86,GT,1704177149
139,fisterra,42.9049,-9.2629,14.86,90,100,16.12,ES,1704177150
140,kalmunai,7.4167,81.8167,24.92,91,100,2.99,LK,1704177151
